139	NM_001198696	chr10	-	70112266	70132934	70114177	70124084	9	70112266,70114919,70116621,70117811,70120506,70121091,70123404,70123906,70132733,	70114329,70115120,70116774,70117920,70120599,70121211,70123520,70124100,70132934,	0	AIFM2	cmpl	cmpl	1,1,1,0,0,0,1,0,-1,
1212	NM_001042423	chr17	+	82232231	82239499	82236008	82238976	5	82232231,82235982,82236728,82237137,82238701,	82232359,82236231,82236872,82237893,82239499,	0	SLC16A3	cmpl	cmpl	-1,0,1,1,1,
74	NM_003957	chr11	+	1389933	1462689	1390284	1460989	20	1389933,1436039,1438305,1440787,1442489,1443105,1443334,1443488,1444970,1445293,1445570,1445756,1449775,1450586,1451370,1454484,1456347,1456597,1459191,1460969,	1390375,1436134,1438391,1440928,1442606,1443139,1443403,1443635,1445002,1445458,1445668,1445907,1449836,1450794,1451419,1454608,1456528,1456687,1459239,1462689,	0	BRSK2	cmpl	cmpl	0,1,0,2,2,2,0,0,0,2,2,1,2,0,1,2,0,1,1,1,
74	NR_046331	chr11	+	1389933	1462689	1462689	1462689	21	1389933,1436039,1438305,1440787,1442489,1443105,1443334,1443488,1444970,1445293,1445570,1445756,1449775,1450586,1451370,1454484,1456347,1456597,1456954,1459191,1460969,	1390375,1436134,1438391,1440928,1442606,1443139,1443403,1443635,1445002,1445458,1445668,1445907,1449836,1450794,1451419,1454608,1456528,1456687,1457049,1459239,1462689,	0	BRSK2	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
602	NM_005170	chr11	-	2268497	2270588	2269750	2270332	2	2268497,2269732,	2269126,2270588,	0	ASCL2	cmpl	cmpl	-1,0,
1196	NM_001278408	chr10	-	80155123	80204491	80155852	80172861	17	80155123,80157640,80157966,80159099,80161934,80163348,80163533,80164052,80166083,80166889,80167225,80168968,80170799,80172806,80176106,80180940,80204238,	80155912,80157763,80158025,80159195,80162028,80163405,80163613,80164143,80166197,80166984,80167313,80169358,80170915,80172869,80176155,80181455,80204491,	0	ANXA11	cmpl	cmpl	0,0,1,1,0,0,1,0,0,1,0,0,1,0,-1,-1,-1,
586	NM_001098787	chr11	-	202923	207422	205301	207321	4	202923,205610,205951,207302,	205469,205667,206043,207422,	0	BET1L	cmpl	cmpl	0,0,1,0,
1603	NR_149718	chr10	+	133453927	133469183	133469183	133469183	13	133453927,133456236,133457278,133458359,133459020,133459486,133459877,133464605,133465105,133465250,133466234,133467197,133467846,	133454064,133456554,133457575,133458656,133459326,133459804,133460170,133464930,133465174,133465565,133466381,133467353,133469183,	0	SCART1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1603	NM_000773	chr10	+	133527362	133539123	133527395	133538964	9	133527362,133528480,133531584,133532123,133532691,133533755,133537062,133537750,133538779,	133527572,133528640,133531734,133532284,133532868,133533897,133537250,133537892,133539123,	0	CYP2E1	cmpl	cmpl	0,0,1,1,0,0,1,0,1,
594	NM_000455	chr19	+	1205777	1228431	1206913	1226647	10	1205777,1218416,1219323,1220372,1220580,1221212,1221948,1222984,1226453,1227592,	1207203,1218500,1219413,1220505,1220717,1221340,1222006,1223172,1226663,1228431,	0	STK11	cmpl	cmpl	0,2,2,2,0,2,1,2,1,-1,
